time(s),Throughput_5mb,Throughput_10mb,Throughput_20mb,Throughput_50mb,Throughput_100mb
1,0.682609783,1.023872016,1.638072386,0.819118088,0.910121098
2,0.819118088,1.023872016,1.170118554,1.023872016,0.910121098
3,1.023872016,1.170118554,2.047488128,1.365105816,0.910121098
4,1.365105816,1.638072386,1.023872016,0.819118088,0.630105377
5,1.170118554,1.365105816,1.638072386,1.365105816,0.819118088
6,1.170118554,2.047488128,1.638072386,0.910121098,0.910121098
7,1.365105816,1.638072386,1.365105816,1.023872016,0.910121098
8,1.170118554,0.910121098,1.023872016,1.170118554,0.910121098
9,0.910121098,0.910121098,1.023872016,0.819118088,0.819118088
10,1.170118554,1.023872016,1.023872016,0.910121098,1.023872016
11,1.170118554,1.638072386,1.170118554,1.365105816,1.023872016
12,1.023872016,1.638072386,1.638072386,0.819118088,1.023872016
13,1.023872016,1.638072386,1.023872016,0.819118088,0.682609783
14,0.819118088,1.365105816,2.047488128,1.365105816,0.910121098
15,1.023872016,2.047488128,1.638072386,0.910121098,0.744659576
16,1.170118554,0.910121098,1.170118554,0.819118088,1.023872016
17,0.910121098,2.047488128,2.047488128,0.819118088,0.819118088
18,1.170118554,1.023872016,2.047488128,1.365105816,0.910121098
19,1.170118554,1.023872016,2.047488128,1.365105816,0.819118088
20,1.023872016,1.365105816,0.910121098,1.365105816,0.910121098
21,1.365105816,1.638072386,1.023872016,1.365105816,0.910121098
22,1.023872016,0.910121098,1.638072386,0.819118088,0.819118088
23,1.638072386,1.170118554,1.638072386,1.365105816,0.819118088
24,1.638072386,2.047488128,2.047488128,1.365105816,0.910121098
25,1.638072386,2.047488128,1.023872016,1.638072386,0.682609783
26,1.365105816,1.638072386,2.047488128,1.365105816,0.910121098
27,2.047488128,2.047488128,1.638072386,0.910121098,0.819118088
28,1.638072386,2.047488128,1.365105816,1.365105816,0.910121098
29,1.170118554,1.023872016,1.638072386,1.365105816,0.819118088
30,2.047488128,2.047488128,2.047488128,1.365105816,0.630105377